Comuna,No_víctimas,x,y
1.0,93,-58.386944444444445,-34.6
2.0,25,-58.39055555555556,-34.59055555555556
3.0,46,-58.39666666666667,-34.60277777777778
4.0,79,-58.42444444444444,-34.650277777777774
5.0,22,-58.4125,-34.62305555555555
6.0,22,-58.45,-34.61666666666667
7.0,62,-58.467222222222226,-34.63027777777778
8.0,67,-58.455555555555556,-34.68583333333333
9.0,75,-58.483333333333334,-34.65
10.0,30,-58.48361111111111,-34.63194444444444
11.0,33,-58.51638888888889,-34.60888888888889
12.0,39,-58.48277777777778,-34.56861111111112
13.0,40,-58.46388888888889,-34.55361111111111
14.0,37,-58.43055555555555,-34.58888888888889
15.0,45,-58.441111111111105,-34.58722222222222
